7, 100, 83, 85, 83, 84, 8
8, 100, 84, 92, 84, 89, 26
2, 500, 305, 367, 305, 319, 0
3, 500, 366, 455, 366, 439, 0
4, 500, 323, 396, 323, 361, 0
5, 500, 340, 373, 222, 320, 2
6, 500, 353, 386, 305, 351, 6
7, 500, 385, 425, 280, 410, 25
8, 500, 365, 406, 299, 376, 80
2, 10, 5, 5, 5, 4, 0
3, 10, 9, 9, 8, 5, 0
4, 10, 7, 7, 7, 7, 0
5, 10, 10, 10, 10, 10, 0
6, 10, 7, 7, 6, 7, 2
7, 10, 7, 6, 5, 7, 5
8, 10, 9, 9, 7, 8, 16
2, 50, 28, 28, 24, 24, 0
3, 50, 39, 43, 39, 38, 0
4, 50, 45, 46, 32, 42, 0
5, 50, 37, 37, 29, 27, 1
6, 50, 32, 37, 15, 39, 2
7, 50, 42, 43, 38, 40, 6
8, 50, 39, 42, 24, 38, 21
2, 100, 100, 100, 100, 100, 0
3, 100, 91, 91, 91, 81, 0
4, 100, 89, 89, 11, 81, 0
5, 100, 76, 80, 27, 58, 1
6, 100, 78, 79, 54, 69, 3
7, 100, 75, 76, 61, 74, 8
8, 100, 76, 86, 70, 78, 26
2, 500, 273, 310, 224, 283, 0
3, 500, 472, 472, 472, 459, 0
4, 500, 326, 358, 248, 306, 0
5, 500, 437, 467, 325, 462, 2
6, 500, 381, 437, 381, 410, 6
7, 500, 437, 460, 374, 449, 20
8, 500, 325, 358, 280, 328, 82
2, 10, 10, 10, 0, 10, 0
3, 10, 7, 8, 7, 7, 0
4, 10, 7, 7, 7, 9, 0
5, 10, 10, 10, 1, 10, 0
6, 10, 6, 7, 6, 7, 2
7, 10, 9, 9, 5, 8, 5
8, 10, 9, 9, 8, 8, 16
2, 50, 46, 46, 46, 45, 0
3, 50, 35, 38, 35, 35, 0
4, 50, 43, 43, 27, 39, 0
5, 50, 33, 38, 26, 33, 1
6, 50, 44, 44, 47, 40, 2
7, 50, 38, 46, 38, 49, 7
8, 50, 41, 44, 24, 44, 20
2, 100, 79, 79, 50, 65, 0
3, 100, 89, 95, 89, 91, 0
4, 100, 69, 80, 69, 78, 0
5, 100, 59, 75, 36, 71, 1
6, 100, 69, 71, 65, 72, 3
7, 100, 62, 79, 55, 67, 9
8, 100, 81, 81, 74, 83, 25
2, 500, 368, 368, 132, 335, 0
3, 500, 394, 444, 307, 428, 0
4, 500, 365, 455, 240, 446, 0
